Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records,,,,,,,,,,,,,,,,,,
362,PTNOTFSM6CLA1ABASICS_95,Percentage of non-disadvantaged pupils achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
363,TBASICSLO_95,Number of pupils with low prior attainment achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
364,PTBASICSLO_95,Percentage of pupils with low prior attainment achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
365,TBASICSAV_95,Number of pupils with middle prior attainment achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
366,PTBASICSAV_95,Percentage of pupils with middle prior attainment achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
367,TBASICSHI_95,Number of pupils with high prior attainment achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
368,PTBASICSHI_95,Percentage of pupils with high prior attainment achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
369,PBL2BASICS_95,Percentage of boys achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
370,PGL2BASICS_95,Percentage of girls achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
371,PTL2BASICSEAL_95,Percentage of pupils for whom English as an additional language achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
372,PTL2BASICSNMOB_95,Percentage of non-mobile pupils achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
373,PTFSMBASICS_14_PTQ,Percentage of disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
374,PTNOTFSMBASICS_14_PTQ,Percentage of non-disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
375,PTFSM6CLA1ABASICS_15_PTQ_EE,Percentage of disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
376,PTNOTFSM6CLA1ABASICS_15_PTQ_EE,Percentage of non-disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
377,PTFSM6CLA1ABASICS_16_PTQ_EE,Percentage of disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
378,PTNOTFSM6CLA1ABASICS_16_PTQ_EE,Percentage of non-disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
379,PTmultiLan_E,Percentage of pupils entering more than one language,,,,,,,,,,,,,,,,,,,,,,,
380,PTtripleSci_E,"Percentage of pupils entering biology, chemistry and physics",,,,,,,,,,,,,,,,,,,,,,,
381,TFSMCLA_14,Number of disadvantaged pupils at the end of key stage 4 in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
382,PTFSMCLA_14,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
383,TNOTFSMCLA_14,Number of non-disadvantaged pupils at the end of key stage 4 in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
384,PTNOTFSMCLA_14,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
385,TFSM6CLA1A_15,Number of disadvantaged pupils at the end of key stage 4 in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
386,PTFSM6CLA1A_15,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
387,TNOTFSM6CLA1A_15,Number of non-disadvantaged pupils at the end of key stage 4 in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
388,PTNOTFSM6CLA1A_15,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
389,TFSM6CLA1A_16,Number of disadvantaged pupils at the end of key stage 4 in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
390,PTFSM6CLA1A_16,Percentage of pupils at the end of key stage 4 who were disadvantaged in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
391,TNOTFSM6CLA1A_16,Number of non-disadvantaged pupils at the end of key stage 4 in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
392,PTNOTFSM6CLA1A_16,Percentage of pupils at the end of key stage 4 who were not disadvantaged in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
393,TAVENT_E_3NG_PTQ_EE,Average number of GCSE and equivalents entries per pupil,Yes - see 2016 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
394,TAVENT_E_3NG_LO_PTQ_EE,Average number of GCSE and equivalents entries per pupil with low prior attainment,Yes - see 2016 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
395,TAVENT_E_3NG_AV_PTQ_EE,Average number of GCSE and equivalents entries per pupil with middle prior attainment,Yes - see 2016 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
396,TAVENT_E_3NG_HI_PTQ_EE,Average number of GCSE and equivalents entries per pupil with high prior attainment,Yes - see 2016 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
397,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,Average number of GCSE and equivalents entries per disadvantaged pupil,Yes - see 2016 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
398,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,Average number of GCSE and equivalents entries per non-disadvantaged pupil,Yes - see 2016 methodology sheet for methodology change,,,Yes,,,,,,,,,,,,,,,,,,,
399,TAVENT_EFSM_14_PTQ,Average number of GCSE and equivalents entries per disadvantaged pupil in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
400,TAVENT_ENFSM_14_PTQ,Average number of GCSE and equivalents entries per non-disadvantaged pupil in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
401,TAVENT_EFSM6CLA1A_15_PTQ_EE,Average number of GCSE and equivalents entries per disadvantaged pupil in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
402,TAVENT_ENFSM6CLA1A_15_PTQ_EE,Average number of GCSE and equivalents entries per non-disadvantaged pupil in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
403,TAVENT_EFSM6CLA1A_16_PTQ_EE,Average number of GCSE and equivalents entries per disadvantaged pupil in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
404,TAVENT_ENFSM6CLA1A_16_PTQ_EE,Average number of GCSE and equivalents entries per non-disadvantaged pupil in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
405,TAVENT_G_PTQ_EE,Average number of GCSE entries per pupil,,,,,,,,,,,,,,,,,,,,,,,
406,TAVENT_GLO_PTQ_EE,Average number of GCSE entries per pupil with low prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
407,TAVENT_GAV_PTQ_EE,Average number of GCSE entries per pupil with middle prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
408,TAVENT_GHI_PTQ_EE,Average number of GCSE entries per pupil with high prior attainment,,,,Yes,,,,,,,,,,,,,,,,,,,
409,TAVENT_GFSM6CLA1A_PTQ_EE,Average number of GCSE entries per disadvantaged pupil,,,,Yes,,,,,,,,,,,,,,,,,,,
410,TAVENT_GNFSM6CLA1A_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil,,,,Yes,,,,,,,,,,,,,,,,,,,
411,TAVENT_GFSM_14_PTQ,Average number of GCSE entries per disadvantaged pupil in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
412,TAVENT_GNFSM_14_PTQ,Average number of GCSE entries per non-disadvantaged pupil in 2014,,,,Yes,,,,,,,,,,,,,,,,,,,
413,TAVENT_GFSM6CLA1A_15_PTQ_EE,Average number of GCSE entries per disadvantaged pupil in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
414,TAVENT_GNFSM6CLA1A_15_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil in 2015,,,,Yes,,,,,,,,,,,,,,,,,,,
415,TAVENT_GFSM6CLA1A_16_PTQ_EE,Average number of GCSE entries per disadvantaged pupil in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
416,TAVENT_GNFSM6CLA1A_16_PTQ_EE,Average number of GCSE entries per non-disadvantaged pupil in 2016,,,,Yes,,,,,,,,,,,,,,,,,,,
