Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records,,,,,,,,,,,,,,,,,,
87,P8MEAOPEN,Progress 8 measure for open element,,,,Yes,,,,,,,,,,,,,,,,,,,
88,P8MEAOPEN_CILOW,Lower 95% confidence interval for Progress 8 open element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
89,P8MEAOPEN_CIUPP,Upper 95% confidence interval for Progress 8 open element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
90,PTL2BASICS_94,Percentage of pupils achieving standard passes (grades 9-4) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
91,PTL2BASICS_95,Percentage of pupils achieving strong passes (grades 9-5) in both English and mathematics GCSEs,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
92,TEBACC_E_PTQ_EE,Number of key stage 4 pupils with entries in all English Baccalaureate subject areas,,,,,,,,,,,,,,,,,,,,,,,
93,PTEBACC_E_PTQ_EE,Percentage of key stage 4 pupils with entries in all English Baccalaureate subject areas,,,,,,,,,,,,,,,,,,,,,,,
94,PTEBACC_94,Percentage of pupils achieving the English Baccalaureate with standard passes (grades 9-4) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
95,PTEBACC_95,Percentage of pupils achieving the English Baccalaureate with strong passes (grades 9-5) in both English and maths and A*-C grades in the remaining elements,Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
96,TEBACENG_E_PTQ_EE,Number of pupils entering the English Baccalaureate English subject area,,,,,,,,,,,,,,,,,,,,,,,
97,PTEBACENG_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate English subject area,,,,,,,,,,,,,,,,,,,,,,,
98,TEBACMAT_E_PTQ_EE,Number of pupils entering the English Baccalaureate Maths subject area,,,,,,,,,,,,,,,,,,,,,,,
99,PTEBACMAT_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate Maths subject area,,,,,,,,,,,,,,,,,,,,,,,
100,TEBAC2SCI_E_PTQ_EE,Number of pupils entering the English Baccalaureate Science subject area,,,,,,,,,,,,,,,,,,,,,,,
101,PTEBAC2SCI_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate Science subject area,,,,,,,,,,,,,,,,,,,,,,,
102,TEBACHUM_E_PTQ_EE,Number of pupils entering the English Baccalaureate Humanities subject area,,,,,,,,,,,,,,,,,,,,,,,
103,PTEBACHUM_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate Humanities subject area,,,,,,,,,,,,,,,,,,,,,,,
104,TEBACLAN_E_PTQ_EE,Number of pupils entering the English Baccalaureate Language subject area,,,,,,,,,,,,,,,,,,,,,,,
105,PTEBACLAN_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate Language subject area,,,,,,,,,,,,,,,,,,,,,,,
106,PTEBACENG_94,Percentage of pupils achieving the English Baccalaureate English subject area with a standard pass (grades 9-4),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
107,PTEBACENG_95,Percentage of pupils achieving the English Baccalaureate English subject area with a strong pass (grades 9-5),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
108,PTEBACMAT_94,Percentage of pupils achieving the English Baccalaureate Maths subject area with a standard pass (grades 9-4),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
109,PTEBACMAT_95,Percentage of pupils achieving the English Baccalaureate Maths subject area with a strong pass (grades 9-5),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
110,PTEBAC2SCI_PTQ_EE,Percentage of entered pupils achieving the English Baccalaureate Science subject area,,,,,,,,,,,,,,,,,,,,,,,
111,PTEBACHUM_PTQ_EE,Percentage of entered pupils achieving the English Baccalaureate Humanities subject area,,,,,,,,,,,,,,,,,,,,,,,
112,PTEBACLAN_PTQ_EE,Percentage of entered pupils achieving the English Baccalaureate Language subject area,,,,,,,,,,,,,,,,,,,,,,,
113,SCIVACOV_PTQ_EE,Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
114,HUMVACOV_PTQ_EE,Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
115,LANVACOV_PTQ_EE,Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
116,SCIVAMEA_PTQ_EE,English Baccalaureate Science Value Added measure,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
117,SCIVALOW_PTQ_EE,English Baccalaureate Science Value Added lower 95% confidence limit,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
118,SCIVAUPP_PTQ_EE,English Baccalaureate Science Value Added upper 95% confidence limit,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
119,HUMVAMEA_PTQ_EE,English Baccalaureate Humanities Value Added measure,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
120,HUMVALOW_PTQ_EE,English Baccalaureate Humanities Value Added lower 95% confidence limit,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
121,HUMVAUPP_PTQ_EE,English Baccalaureate Humanities Value Added upper 95% confidence limit,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
122,LANVAMEA_PTQ_EE,English Baccalaureate Languages Value Added measure,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
123,LANVALOW_PTQ_EE,English Baccalaureate Languages Value Added lower 95% confidence limit,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
124,LANVAUPP_PTQ_EE,English Baccalaureate Languages Value Added upper 95% confidence limit,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
125,TEBACENG_94,Number of pupils achieving the English Baccalaureate English subject area with a standard pass (grades 9-4),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
126,TEBACENG_95,Number of pupils achieving the English Baccalaureate English subject area with a strong pass (grades 9-5),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
127,TEBACMAT_94,Number of pupils achieving the English Baccalaureate Maths subject area with a standard pass (grades 9-4),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
128,TEBACMAT_95,Number of pupils achieving the English Baccalaureate Maths subject area with a strong pass (grades 9-5),Yes - see 2017 methodology sheet for methodology change,,,,,,,,,,,,,,,,,,,,,,
129,TEBAC2SCI_PTQ_EE,Number of pupils achieving the English Baccalaureate Science subject area,,,,,,,,,,,,,,,,,,,,,,,
130,TEBACHUM_PTQ_EE,Number of pupils achieving the English Baccalaureate Humanities subject area,,,,,,,,,,,,,,,,,,,,,,,
131,TEBACLAN_PTQ_EE,Number of pupils achieving the English Baccalaureate Language subject area,,,,,,,,,,,,,,,,,,,,,,,
132,TEBACC91,Number of pupils achieving the English Baccalaureate at grades 9-1 in both English and maths and A*-G grades in the remaining elements,,,,,,,,,,,,,,,,,,,,,,,
133,PTEBACC91,Percentage of pupils achieving the English Baccalaureate at grades 9-1 in both English and maths and A*-G grades in the remaining elements,,,,,,,,,,,,,,,,,,,,,,,
134,TEBACENG91,Number of pupils achieving the English Baccalaureate English subject area at grades 9-1,,,,,,,,,,,,,,,,,,,,,,,
135,PTEBACENG91,Percentage of entered pupils achieving the English Baccalaureate English subject area at grades 9-1,,,,,,,,,,,,,,,,,,,,,,,
136,TEBACMAT91,Number of pupils achieving the English Baccalaureate Maths subject area at grades 9-1,,,,,,,,,,,,,,,,,,,,,,,
137,PTEBACMAT91,Percentage of entered pupils achieving the English Baccalaureate Maths subject area at grades 9-1,,,,,,,,,,,,,,,,,,,,,,,
138,TEBAC2SCIAG_PTQ_EE,Number of pupils achieving the English Baccalaureate Science subject area at grades A*-G,,,,,,,,,,,,,,,,,,,,,,,
139,PTEBAC2SCIAG_PTQ_EE,Percentage of entered pupils achieving the English Baccalaureate Science subject area at grades A*-G,,,,,,,,,,,,,,,,,,,,,,,
140,TEBACHUMAG_PTQ_EE,Number of pupils achieving the English Baccalaureate Humanities subject area at grade A*-G,,,,,,,,,,,,,,,,,,,,,,,
141,PTEBACHUMAG_PTQ_EE,Percentage of entered pupils achieving the English Baccalaureate Humanities subject area at grades A*-G,,,,,,,,,,,,,,,,,,,,,,,
142,TEBACLANAG_PTQ_EE,Number of pupils achieving the English Baccalaureate Language subject area at grade A*-G,,,,,,,,,,,,,,,,,,,,,,,
143,PTEBACLANAG_PTQ_EE,Percentage of entered pupils achieving the English Baccalaureate Language subject area at grade A*-G,,,,,,,,,,,,,,,,,,,,,,,
144,ATT8SCR_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil,,,,Yes,,,,,,,,,,,,,,,,,,,
145,P8PUP_FSM6CLA1A,Number of disadvantaged pupils in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
